id,Season,Match,Venue,Winner,Wonby,PlayerOfTheMatch,Team1Players,Team2Players,Team1,Team1Run,Team2,Team2run
598011,2013,15,Wankhede Stadium,Mumbai Indians,Runs,RG Sharma,"RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,R Dhawan,MG Johnson,PP Ojha,SL Malinga","AJ Finch,RV Uthappa,LRPL Taylor,Yuvraj Singh,TL Suman,AD Mathews,MR Marsh,AM Nayar,B Kumar,R Sharma,AB Dinda",Mumbai Indians,183,Pune Warriors,142
598010,2013,14,Feroz Shah Kotla,Sunrisers Hyderabad,Wickets,A Mishra,"DA Warner,V Sehwag,DPMD Jayawardene,MC Juneja,J Botha,IK Pathan,KM Jadhav,M Morkel,S Nadeem,UT Yadav,S Kaul","PA Reddy,PA Patel,KC Sangakkara,GH Vihari,CL White,NLTC Perera,A Ashish Reddy,A Mishra,DW Steyn,I Sharma,Anand Rajan",Delhi Daredevils,114,Sunrisers Hyderabad,115
598008,2013,12,M Chinnaswamy Stadium,Royal Challengers Bangalore,Wickets,CH Gayle,"CH Gayle,MA Agarwal,V Kohli,AB de Villiers,MC Henriques,KB Arun Karthik,KL Rahul,R Vinay Kumar,RP Singh,JD Unadkat,M Muralitharan","MS Bisla,G Gambhir,JH Kallis,YK Pathan,MK Tiwary,EJG Morgan,R Bhatia,R McLaren,PJ Sangwan,SP Narine,L Balaji",Kolkata Knight Riders,154,Royal Challengers Bangalore,158
598007,2013,11,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Wickets,MEK Hussey,"Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh,Azhar Mahmood,R Sathish,PP Chawla,RJ Harris,P Kumar,P Awana","M Vijay,MEK Hussey,SK Raina,S Badrinath,MS Dhoni,RA Jadeja,DJ Bravo,R Ashwin,DP Nannes,CH Morris,AS Rajpoot",Kings XI Punjab,138,Chennai Super Kings,139
598048,2013,9,M Chinnaswamy Stadium,Royal Challengers Bangalore,Wickets,V Kohli,"MA Agarwal,CH Gayle,V Kohli,AB de Villiers,MC Henriques,KB Arun Karthik,R Vinay Kumar,M Kartik,JD Unadkat,RP Singh,M Muralitharan","PA Reddy,PA Patel,KC Sangakkara,CL White,NLTC Perera,A Ashish Reddy,GH Vihari,BB Samantray,A Mishra,DW Steyn,I Sharma",Sunrisers Hyderabad,161,Royal Challengers Bangalore,162
598006,2013,10,Wankhede Stadium,Mumbai Indians,Runs,KD Karthik,"RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,R Dhawan,MG Johnson,PP Ojha,SL Malinga","UBT Chand,DA Warner,DPMD Jayawardene,MC Juneja,BMAJ Mendis,IK Pathan,KM Jadhav,S Nadeem,M Morkel,A Nehra,UT Yadav",Mumbai Indians,209,Delhi Daredevils,165
598005,2013,8,Sawai Mansingh Stadium,Rajasthan Royals,Runs,SK Trivedi,"SR Watson,AM Rahane,R Dravid,STR Binny,BJ Hodge,KK Cooper,DH Yagnik,S Sreesanth,SK Trivedi,SW Tait,R Shukla","MS Bisla,G Gambhir,JH Kallis,MK Tiwary,EJG Morgan,YK Pathan,LR Shukla,R Bhatia,B Lee,Mohammed Shami,SP Narine",Rajasthan Royals,144,Kolkata Knight Riders,125
598004,2013,7,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,SuperOver,GH Vihari,"PA Reddy,PA Patel,CL White,GH Vihari,KC Sangakkara,NLTC Perera,A Mishra,A Ashish Reddy,DW Steyn,Ankit Sharma,I Sharma","CH Gayle,TM Dilshan,V Kohli,KK Nair,MC Henriques,MA Agarwal,KB Arun Karthik,R Vinay Kumar,M Kartik,JD Unadkat,M Muralitharan",Royal Challengers Bangalore,130,Sunrisers Hyderabad,130
598003,2013,6,Subrata Roy Sahara Stadium,Punjab Kings,Wickets,M Vohra,"RV Uthappa,MK Pandey,TL Suman,MN Samuels,LRPL Taylor,AD Mathews,AM Nayar,MR Marsh,B Kumar,R Sharma,AB Dinda","AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,R Sathish,PP Chawla,P Awana,P Kumar,RJ Harris",Pune Warriors,99,Kings XI Punjab,100
598002,2013,5,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Runs,KA Pollard,"MEK Hussey,M Vijay,SK Raina,DJ Bravo,S Badrinath,MS Dhoni,RA Jadeja,R Ashwin,B Laughlin,AS Rajpoot,DP Nannes","RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,DR Smith,Harbhajan Singh,MG Johnson,MM Patel,PP Ojha",Mumbai Indians,148,Chennai Super Kings,139
598001,2013,4,Feroz Shah Kotla,Rajasthan Royals,Runs,R Dravid,"DA Warner,UBT Chand,DPMD Jayawardene,MC Juneja,AD Russell,J Botha,IK Pathan,NV Ojha,A Nehra,S Nadeem,UT Yadav","MDKJ Perera,AM Rahane,R Dravid,STR Binny,BJ Hodge,KK Cooper,AL Menaria,S Sreesanth,R Shukla,SK Trivedi,S Badree",Rajasthan Royals,165,Delhi Daredevils,160
598000,2013,3,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Runs,A Mishra,"PA Reddy,PA Patel,KC Sangakkara,CL White,NLTC Perera,GH Vihari,A Ashish Reddy,DB Ravi Teja,A Mishra,DW Steyn,I Sharma","RV Uthappa,MK Pandey,MN Samuels,Yuvraj Singh,LRPL Taylor,AM Nayar,AD Mathews,MR Marsh,B Kumar,R Sharma,AB Dinda",Sunrisers Hyderabad,126,Pune Warriors,104
597999,2013,2,M Chinnaswamy Stadium,Royal Challengers Bangalore,Runs,CH Gayle,"CH Gayle,TM Dilshan,V Kohli,MA Agarwal,DT Christian,KK Nair,KB Arun Karthik,R Vinay Kumar,M Kartik,JD Unadkat,M Muralitharan","RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,Harbhajan Singh,JJ Bumrah,MG Johnson,JDP Oram,MM Patel",Royal Challengers Bangalore,156,Mumbai Indians,154
597998,2013,1,Eden Gardens,Kolkata Knight Riders,Wickets,SP Narine,"MS Bisla,G Gambhir,JH Kallis,MK Tiwary,EJG Morgan,YK Pathan,LR Shukla,R Bhatia,B Lee,SP Narine,L Balaji","UBT Chand,DA Warner,DPMD Jayawardene,MC Juneja,NV Ojha,J Botha,IK Pathan,AD Russell,S Nadeem,A Nehra,UT Yadav",Delhi Daredevils,128,Kolkata Knight Riders,129
548381,2012,Final,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Wickets,MS Bisla,"MS Bisla,G Gambhir,JH Kallis,LR Shukla,YK Pathan,Shakib Al Hasan,MK Tiwary,R Bhatia,Iqbal Abdulla,SP Narine,B Lee","MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,JA Morkel,R Ashwin,BW Hilfenhaus,SB Jakati,S Badrinath",Chennai Super Kings,190,Kolkata Knight Riders,192
